,UDI,Type,air_temperature,process_temperature,rotational_speed_actual,torque,tool_wear,machine_failure,TWF,HDF,PWF,OSF,RNF,H,L,M,rotational_speed_normalised
79,9997,H,298.9,308.4,1632,31.8,17.0,0,0,0,0,0,0,1,0,0,0.31576223015893
80,1695,L,298.0,307.5,1618,35.2,31.0,0,0,0,0,0,0,0,1,0,0.3157622301583471
81,8568,L,298.0,308.7,1511,45.8,114.0,0,0,0,0,0,0,0,1,0,0.3157622301531078
82,4710,M,303.4,311.6,1446,50.0,163.0,0,0,0,0,0,0,0,0,1,0.31576223014909
83,3605,L,301.8,310.8,1557,33.3,190.0,0,0,0,0,0,0,0,1,0,0.3157622301555444
84,5942,L,300.6,310.7,1438,48.5,78.0,1,0,0,0,0,0,0,1,0,0.3157622301485422
85,2173,L,299.5,309.2,1816,23.0,15.0,0,0,0,0,0,0,0,1,0,0.3157622301649799
86,3718,H,302.3,311.4,1443,44.1,51.0,0,0,0,0,0,0,1,0,0,0.315762230148886
87,37,M,298.9,309.2,1581,36.7,101.0,0,0,0,0,0,0,0,0,1,0.3157622301567009
88,4017,L,302.1,310.9,1658,30.3,186.0,0,0,0,0,0,0,0,1,0,0.315762230159959
89,4732,L,303.3,311.6,1301,45.1,219.0,1,0,1,0,0,0,0,1,0,0.3157622301368085
90,4468,L,302.8,310.6,1617,37.9,207.0,0,0,0,0,0,0,0,1,0,0.3157622301583047
91,6641,L,300.1,310.4,1334,43.2,133.0,0,0,0,0,0,0,0,1,0,0.3157622301401014
92,3312,L,301.3,310.4,1459,44.7,92.0,0,0,0,0,0,0,0,1,0,0.3157622301499537
93,9258,M,298.3,309.1,1296,58.7,201.0,0,0,0,0,0,0,0,0,1,0.3157622301362788
94,5455,L,303.0,312.5,1461,40.2,127.0,0,0,0,0,0,0,0,1,0,0.3157622301500837
95,8324,H,298.7,309.5,1453,40.4,108.0,0,0,0,0,0,0,1,0,0,0.315762230149559
96,539,M,297.4,310.0115802171291,1499,36.8,88.0,0,0,0,0,0,0,0,0,1,0.3157622301524201
97,6356,L,300.1,309.7,1481,37.9,34.0,0,0,0,0,0,0,0,1,0,0.3157622301513445
98,7175,L,300.2,310.2,1530,48.5,15.0,0,0,0,0,0,0,0,1,0,0.3157622301541512
99,220,M,298.3,308.5,1434,46.2,148.0,0,0,0,0,0,0,0,0,1,0.3157622301482635
100,1455,L,299.1,310.4,1428,46.9,87.0,0,0,0,0,0,0,0,1,0,0.3157622301478393
101,2661,L,299.8,310.0115802171291,1291,56.4,188.0,0,0,0,0,0,0,0,1,0,0.3157622301357405
102,7649,L,300.4,311.4,1552,28.8,135.0,0,0,0,0,0,0,0,1,0,0.315762230155294
103,5111,M,304.0,313.5,1732,26.2,126.0,0,0,0,0,0,0,0,0,1,0.3157622301625481
104,4118,L,301.9,310.5,1340,55.7,204.0,1,0,0,0,1,0,0,1,0,0.3157622301406643
105,2662,M,299.9,309.4,1509,42.8,190.0,0,0,0,0,0,0,0,0,1,0.3157622301529947
106,5214,M,303.7,312.6,1429,43.3,189.0,0,0,0,0,0,0,0,0,1,0.3157622301479105
107,487,M,297.4,309.1,1582,35.9,180.0,0,0,0,0,0,0,0,0,1,0.3157622301567476
108,4919,L,303.3,312.2,1457,40.7,48.0,0,0,0,0,0,0,0,1,0,0.3157622301498229
109,271,H,298.0,308.0,1520,39.6,51.0,0,0,0,0,0,0,1,0,0,0.3157622301536088
110,4858,L,303.7,312.3,1606,37.4,103.0,0,0,0,0,0,0,0,1,0,0.3157622301578305
111,531,M,297.6,309.5,1709,32.2,65.0,0,0,0,0,0,0,0,0,1,0.315762230161793
112,5479,L,302.7,312.2,1611,34.1,186.0,0,0,0,0,0,0,0,1,0,0.3157622301580477
113,7142,M,300.4,309.8,1356,44.4,136.0,0,0,0,0,0,0,0,0,1,0.3157622301421151
114,3591,L,301.8,310.6,1403,46.8,151.0,0,0,0,0,0,0,0,1,0,0.3157622301459895
115,8131,H,300.0,311.2,1393,43.1,45.0,0,0,0,0,0,0,1,0,0,0.3157622301452104
116,9495,L,300.1,309.9,1516,41.4,219.0,0,0,0,0,0,0,0,1,0,0.3157622301533876
117,756,H,296.8,308.1,1492,43.7,222.0,0,0,0,0,0,0,1,0,0,0.3157622301520082
118,6670,L,301.4,310.5,1571,33.9,208.0,0,0,0,0,0,0,0,1,0,0.315762230156228
119,2322,M,299.2,308.8,1314,52.5,108.0,0,0,0,0,0,0,0,0,1,0.3157622301381469
120,4856,L,303.7,312.3,1375,46.2,98.0,0,0,0,0,0,0,0,1,0,0.3157622301437479
121,8285,L,298.8,310.6,1651,33.3,0.0,0,0,0,0,0,0,0,1,0,0.3157622301596886
122,315,M,297.9,308.5,1300,53.0,172.0,0,0,0,0,0,0,0,0,1,0.3157622301367033
123,7032,L,300.7,310.8,1479,49.1,108.0,0,0,0,0,0,0,0,1,0,0.3157622301512216
124,5919,L,300.1,310.1,1541,42.0,108.0,0,0,0,0,0,0,0,1,0,0.3157622301547311
125,6626,M,301.6,310.7,1421,44.4,108.0,0,0,0,0,0,0,0,0,1,0.3157622301473349
126,7251,M,300.1,310.2,1429,42.0,206.0,0,0,0,0,0,0,0,0,1,0.3157622301479105
127,5347,L,303.4,312.7,1534,35.5,98.0,0,0,0,0,0,0,0,1,0,0.3157622301543641
128,2551,L,299.4,309.3,1366,48.4,116.0,0,0,0,0,0,0,0,1,0,0.3157622301429862
129,1515,M,298.1,308.8,1628,37.6,12.0,0,0,0,0,0,0,0,0,1,0.3157622301587656
130,728,H,297.3,310.0115802171291,1499,37.6,147.0,0,0,0,0,0,0,1,0,0,0.3157622301524201
131,7750,L,300.4,311.6,1674,33.0,172.0,0,0,0,0,0,0,0,1,0,0.3157622301605595
132,9507,H,299.3,310.4,1548,41.6,25.0,0,0,0,0,0,0,1,0,0,0.3157622301550912
133,7477,L,300.2,311.5,1492,41.8,128.0,0,0,0,0,0,0,0,1,0,0.3157622301520082
134,4339,L,301.6,309.9,1397,43.7,102.0,0,0,0,0,0,0,0,1,0,0.3157622301455248
135,833,L,296.6,307.4,1521,38.6,173.0,0,0,0,0,0,0,0,1,0,0.3157622301536637
136,5697,H,302.5,311.9,1595,34.6,112.0,0,0,0,0,0,0,1,0,0,0.3157622301573425
137,3783,L,302.2,310.8,1827,23.8,9.0,0,0,0,0,0,0,0,1,0,0.3157622301652646
138,6305,L,301.1,310.5,1532,37.5,119.0,0,0,0,0,0,0,0,1,0,0.315762230154258
139,9675,L,300.1,310.2,1695,29.6,8.0,0,0,0,0,0,0,0,1,0,0.3157622301613124
140,5938,M,300.6,310.5,1462,41.3,68.0,0,0,0,0,0,0,0,0,1,0.3157622301501485
141,5352,M,303.5,312.9,1530,34.5,110.0,0,0,0,0,0,0,0,0,1,0.3157622301541512
142,1138,L,300.1,307.8,1653,29.7,137.0,0,0,0,0,0,0,0,1,0,0.3157622301597663
143,4335,L,301.6,309.8,1472,42.5,91.0,0,0,0,0,0,0,0,1,0,0.3157622301507859
144,1842,L,297.7,310.0115802171291,1668,37.8,5.0,0,0,0,0,0,0,0,1,0,0.3157622301603371
145,6523,L,301.1,310.1,1489,45.8,42.0,0,0,0,0,0,0,0,1,0,0.3157622301518292
146,4327,L,301.6,310.1,1362,55.8,70.0,1,0,1,0,0,0,0,1,0,0.315762230142641
147,7670,L,300.7,311.8,1336,58.4,189.0,1,0,0,0,1,0,0,1,0,0.3157622301402902
148,7587,L,300.4,311.1,1589,35.5,191.0,0,0,0,0,0,0,0,1,0,0.3157622301570705
149,8670,M,297.5,308.8,1471,52.3,152.0,0,0,0,0,0,0,0,0,1,0.3157622301507231
150,5309,L,304.0,313.2,1481,42.6,213.0,0,0,0,0,0,0,0,1,0,0.3157622301513445
151,1721,L,298.2,307.7,1459,44.5,89.0,0,0,0,0,0,0,0,1,0,0.3157622301499537
152,2685,L,299.8,309.4,1460,37.4,25.0,0,0,0,0,0,0,0,1,0,0.3157622301500188
153,4279,L,302.0,310.1,1409,50.4,172.0,0,0,0,0,0,0,0,1,0,0.3157622301464459
154,5427,L,302.6,312.3,1554,42.0,58.0,0,0,0,0,0,0,0,1,0,0.3157622301553945
155,4714,L,303.5,311.8,1451,45.2,173.0,0,0,0,0,0,0,0,1,0,0.315762230149426
156,9885,L,300.1,309.5,1673,30.8,141.0,0,0,0,0,0,0,0,1,0,0.3157622301605227
157,1303,L,298.6,309.8,1505,45.7,144.0,0,0,0,0,0,1,0,1,0,0.3157622301527668
158,4377,M,301.9,309.6,1551,34.6,211.0,0,0,0,0,0,0,0,0,1,0.3157622301552434
159,6863,M,301.1,310.0115802171291,1384,49.4,48.0,0,0,0,0,0,0,0,0,1,0.315762230144489
160,8384,M,298.8,309.9,1495,35.2,60.0,0,0,0,0,0,0,0,0,1,0.3157622301521857
161,6212,L,300.8,310.6,1360,48.8,91.0,0,0,0,0,0,0,0,1,0,0.3157622301424667
162,3319,L,301.4,310.4,1436,49.7,108.0,0,0,0,0,0,0,0,1,0,0.3157622301484032
163,4427,L,302.6,310.3,1479,40.4,105.0,0,0,0,0,0,0,0,1,0,0.3157622301512216
164,7145,M,300.4,309.8,1517,40.3,149.0,0,0,0,0,0,0,0,0,1,0.3157622301534432
165,2459,L,299.0,308.6,1434,45.9,108.0,0,0,0,0,0,0,0,1,0,0.3157622301482635
166,9516,L,299.0,310.2,1682,28.8,49.0,0,0,0,0,0,0,0,1,0,0.315762230160851
167,2208,L,299.8,309.2,1591,37.5,108.0,0,0,0,0,0,0,0,1,0,0.3157622301571616
168,9414,L,298.1,308.6,1439,44.9,205.0,0,0,0,0,0,0,0,1,0,0.3157622301486114
169,2603,L,299.4,309.2,1427,41.5,29.0,0,0,0,0,0,0,0,1,0,0.3157622301477679
170,2788,M,300.3,309.6,1524,38.4,54.0,0,0,0,0,0,0,0,0,1,0.3157622301538276
171,3739,M,302.3,311.2,1454,43.8,112.0,0,0,0,0,0,0,0,0,1,0.3157622301496253
172,9590,L,299.2,310.4,1472,43.3,32.0,0,0,0,0,0,0,0,1,0,0.3157622301507859
173,380,L,297.3,310.0115802171291,1754,26.8,125.0,0,0,0,0,0,0,0,1,0,0.3157622301632322
174,1315,M,299.0,310.3,1635,34.5,168.0,0,0,0,0,0,0,0,0,1,0.3157622301590522
175,1128,M,296.7,307.8,1672,32.4,113.0,0,0,0,0,0,0,0,0,1,0.3157622301604857
176,2016,L,298.5,308.2,1301,66.3,42.0,1,0,0,1,0,0,0,1,0,0.3157622301368085
177,5611,L,303.1,312.4,1407,41.2,107.0,0,0,0,0,0,0,0,1,0,0.3157622301462947
178,982,L,296.2,306.8,1655,31.1,136.0,0,0,0,0,0,0,0,1,0,0.3157622301598437
179,8920,L,297.2,310.0115802171291,1693,28.0,188.0,0,0,0,0,0,0,0,1,0,0.3157622301612423
180,9009,M,297.4,308.0,1440,42.4,190.0,0,0,0,0,0,0,0,0,1,0.3157622301486803
181,5864,M,301.4,311.1,1758,25.4,88.0,0,0,0,0,0,0,0,0,1,0.3157622301633528
182,4070,M,301.9,310.7,1405,47.9,80.0,0,0,0,0,0,0,0,0,1,0.3157622301461425
183,5161,L,304.1,313.2,1434,50.1,43.0,0,0,0,0,0,0,0,1,0,0.3157622301482635
184,9462,M,298.4,309.2,1414,46.4,128.0,0,0,0,0,0,0,0,0,1,0.3157622301468202
185,3995,L,300.1,311.4,1434,40.3,133.0,0,0,0,0,0,0,0,1,0,0.3157622301482635
186,5426,L,302.5,312.2,1775,27.9,56.0,0,0,0,0,0,0,0,1,0,0.3157622301638528
187,4428,M,302.4,310.0115802171291,1379,48.9,107.0,1,0,1,0,0,0,0,0,1,0.3157622301440798
188,6032,L,300.6,310.7,1455,40.6,82.0,0,0,0,0,0,0,0,1,0,0.3157622301496914
189,9664,L,299.1,310.1,1435,48.8,229.0,1,0,0,0,1,0,0,1,0,0.3157622301483334
190,2740,L,299.8,310.0115802171291,1572,35.4,158.0,0,0,0,0,0,0,0,1,0,0.3157622301562758
191,7158,L,300.2,310.0115802171291,1486,40.1,182.0,0,0,0,0,0,0,0,1,0,0.3157622301516487
192,7917,L,300.8,310.0115802171291,1512,37.1,169.0,0,0,0,0,0,0,0,1,0,0.315762230153164
193,7776,L,300.3,311.5,1663,33.6,38.0,0,0,0,0,0,0,0,1,0,0.3157622301601492
194,3079,M,300.1,309.4,1349,56.2,127.0,0,0,0,0,0,0,0,0,1,0.3157622301414892
195,3348,L,301.3,310.6,1529,41.8,176.0,0,0,0,0,0,0,0,1,0,0.3157622301540976
196,8800,L,297.3,308.4,1472,41.3,67.0,0,0,0,0,0,0,0,1,0,0.3157622301507859
197,3614,L,301.7,310.0115802171291,1557,39.4,2.0,0,0,0,0,0,0,0,1,0,0.3157622301555444
198,5701,L,300.1,311.9,1497,41.6,123.0,0,0,0,0,0,0,0,1,0,0.3157622301523032
199,8388,L,298.8,309.9,1351,47.2,73.0,0,0,0,0,0,0,0,1,0,0.3157622301416694
200,2102,L,299.3,309.3,1528,37.8,45.0,0,0,0,0,0,0,0,1,0,0.3157622301540439
201,6471,L,300.4,309.6,1379,54.5,108.0,0,0,0,0,0,0,0,1,0,0.3157622301440798
202,8348,L,298.7,309.6,1665,31.1,178.0,0,0,0,0,0,0,0,1,0,0.3157622301602247
203,149,M,298.3,308.3,1379,48.0,181.0,0,0,0,0,0,0,0,0,1,0.3157622301440798
204,1996,L,298.3,308.0,1451,47.1,196.0,0,0,0,0,0,0,0,1,0,0.315762230149426
205,8835,L,297.4,308.8,1473,46.2,167.0,0,0,0,0,0,0,0,1,0,0.3157622301508487
206,7164,M,300.1,310.1,1501,39.3,195.0,0,0,0,0,0,0,0,0,1,0.3157622301525362
207,4906,L,300.1,312.4,1363,53.1,7.0,0,0,0,0,0,0,0,1,0,0.3157622301427276
208,5574,L,302.5,312.2,1738,25.3,14.0,0,0,0,0,0,0,0,1,0,0.3157622301627382
209,1130,L,296.7,307.9,1690,29.6,119.0,0,0,0,0,0,0,0,1,0,0.3157622301611367
210,157,M,298.4,308.1,1495,46.0,203.0,0,0,0,0,0,0,0,0,1,0.3157622301521857
211,5560,M,302.5,312.0,1451,43.2,189.0,0,0,0,0,0,0,0,0,1,0.315762230149426
212,5523,L,302.6,311.9,1453,39.1,84.0,0,0,0,0,0,0,0,1,0,0.315762230149559
213,6482,L,300.7,309.8,1406,48.4,108.0,0,0,0,0,0,0,0,1,0,0.3157622301462187
214,8112,M,300.4,311.8,1553,33.1,209.0,1,1,0,0,0,0,0,0,1,0.3157622301553443
215,7243,H,299.9,310.1,1447,51.4,185.0,0,0,0,0,0,0,1,0,0,0.3157622301491575
216,2678,L,299.8,309.5,1495,39.6,10.0,0,0,0,0,0,0,0,1,0,0.3157622301521857
217,7165,M,300.2,310.1,1474,44.0,198.0,0,0,0,0,0,0,0,0,1,0.3157622301509113
218,5042,L,304.0,313.2,1314,47.1,144.0,0,0,0,0,0,0,0,1,0,0.3157622301381469
219,2256,L,299.1,308.3,1559,33.7,30.0,0,0,0,0,0,0,0,1,0,0.3157622301556436
220,8969,L,297.1,307.8,1454,50.6,94.0,0,0,0,0,0,0,0,1,0,0.3157622301496253
221,2117,M,300.1,309.0,1381,44.9,88.0,0,0,0,0,0,0,0,0,1,0.3157622301442442
222,5608,M,302.9,312.2,1745,25.5,98.0,0,0,0,0,0,0,0,0,1,0.3157622301629567
223,2212,M,299.6,309.0,1245,64.0,120.0,0,0,0,0,0,0,0,0,1,0.3157622301303537
224,1967,L,297.9,307.6,1515,40.5,118.0,0,0,0,0,0,0,0,1,0,0.315762230153332
225,2534,L,298.8,308.7,1490,33.6,71.0,0,0,0,0,0,0,0,1,0,0.315762230151889
226,7079,L,300.7,310.5,1357,52.6,199.0,0,0,0,0,0,0,0,1,0,0.3157622301422034
227,5334,M,303.5,312.6,1405,51.6,62.0,0,0,0,0,0,0,0,0,1,0.3157622301461425
228,9506,L,299.2,310.3,1429,40.1,23.0,0,0,0,0,0,0,0,1,0,0.3157622301479105
229,5609,M,303.1,312.3,1623,31.6,101.0,0,0,0,0,0,0,0,0,1,0.3157622301585577
230,7723,L,300.5,310.0115802171291,1409,54.7,104.0,0,0,0,0,0,0,0,1,0,0.3157622301464459
231,3709,L,302.1,311.4,1549,44.6,31.0,0,0,0,0,0,0,0,1,0,0.3157622301551421
232,2755,H,299.6,309.1,1630,32.3,194.0,0,0,0,0,0,0,1,0,0,0.315762230158848
233,2818,L,300.2,309.5,1417,41.1,129.0,0,0,0,0,0,0,0,1,0,0.3157622301470421
234,6246,L,300.9,310.4,1445,41.7,180.0,0,0,0,0,0,0,0,1,0,0.3157622301490221
235,7090,L,300.6,310.2,1622,34.1,3.0,0,0,0,0,0,0,0,1,0,0.3157622301585158
236,1092,L,297.0,307.7,1447,46.4,8.0,0,0,0,0,0,0,0,1,0,0.3157622301491575
237,1384,M,298.9,310.2,1331,49.0,121.0,0,0,0,0,0,0,0,0,1,0.3157622301398159
238,8124,H,300.2,311.5,1515,36.8,27.0,0,0,0,0,0,0,1,0,0,0.315762230153332
239,4990,L,303.9,313.2,1499,37.4,7.0,0,0,0,0,0,0,0,1,0,0.3157622301524201
240,2843,L,300.3,309.3,1345,53.5,192.0,0,0,0,0,0,0,0,1,0,0.3157622301411253
241,7626,L,300.1,311.7,1556,34.9,76.0,0,0,0,0,0,0,0,1,0,0.3157622301554945
242,6473,H,300.4,310.0115802171291,1571,33.6,126.0,0,0,0,0,0,0,1,0,0,0.315762230156228
243,1577,L,300.1,308.4,1490,41.7,170.0,0,0,0,0,0,0,0,1,0,0.315762230151889
244,2986,L,300.7,309.8,1596,31.5,123.0,0,0,0,0,0,0,0,1,0,0.3157622301573875
245,6954,L,300.8,311.3,1462,41.4,75.0,0,0,0,0,0,0,0,1,0,0.3157622301501485
246,4052,L,301.8,310.8,1383,46.4,37.0,0,0,0,0,0,0,0,1,0,0.3157622301444077
247,8380,L,298.8,309.9,1629,31.9,49.0,0,0,0,0,0,0,0,1,0,0.3157622301588069
248,2984,L,300.6,309.6,1290,57.4,119.0,0,0,0,0,0,0,0,1,0,0.3157622301356318
249,5813,L,301.4,311.1,1495,36.3,193.0,0,0,0,0,0,0,0,1,0,0.3157622301521857
250,5995,L,300.1,310.4,1608,39.2,221.0,0,0,0,0,0,0,0,1,0,0.3157622301579177
251,695,L,297.6,309.1,1394,50.0,62.0,0,0,0,0,0,0,0,1,0,0.3157622301452893
252,3638,M,302.2,311.4,1626,31.6,62.0,0,0,0,0,0,0,0,0,1,0.3157622301586827
253,786,M,296.9,308.0,1497,44.8,57.0,0,0,0,0,0,0,0,0,1,0.3157622301523032
254,7237,M,299.8,310.0115802171291,1460,37.1,169.0,0,0,0,0,0,0,0,0,1,0.3157622301500188
255,5569,L,302.5,312.1,1534,38.6,3.0,0,0,0,0,0,0,0,1,0,0.3157622301543641
256,7472,L,300.3,311.7,1365,53.3,113.0,0,0,0,0,0,0,0,1,0,0.3157622301429003
257,3144,H,300.6,310.0,1419,42.4,90.0,0,0,0,0,0,0,1,0,0,0.3157622301471889
258,9563,M,299.7,311.0,1435,50.1,168.0,0,0,0,0,0,0,0,0,1,0.3157622301483334
259,3440,L,301.4,310.3,1492,41.4,195.0,0,0,0,0,0,0,0,1,0,0.3157622301520082
