UDI,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,H,L,M,rotational_speed_normalised
37,M,298.9,309.2,1581,36.7,101.0,0,0,0,0,0,0,0,0,1,0.31576223015670096
4017,L,302.1,310.9,1658,30.3,186.0,0,0,0,0,0,0,0,1,0,0.315762230159959
4732,L,303.3,311.6,1301,45.1,219.0,1,0,1,0,0,0,0,1,0,0.31576223013680854
4468,L,302.8,310.6,1617,37.9,207.0,0,0,0,0,0,0,0,1,0,0.3157622301583047
6641,L,300.1,310.4,1334,43.2,133.0,0,0,0,0,0,0,0,1,0,0.3157622301401014
3312,L,301.3,310.4,1459,44.7,92.0,0,0,0,0,0,0,0,1,0,0.3157622301499537
5445,L,303.0,312.7,2024,19.9,102.0,0,0,0,0,0,0,0,1,0,0.3157622301693489
6179,L,301.1,310.9,1282,67.9,10.0,1,0,0,1,0,0,0,1,0,0.3157622301347494
9258,M,298.3,309.1,1296,58.7,201.0,0,0,0,0,0,0,0,0,1,0.31576223013627885
5455,L,303.0,312.5,1461,40.2,127.0,0,0,0,0,0,0,0,1,0,0.31576223015008376
8324,H,298.7,309.5,1453,40.4,108.0,0,0,0,0,0,0,1,0,0,0.31576223014955906
539,M,297.4,310.0115802171291,1499,36.8,88.0,0,0,0,0,0,0,0,0,1,0.3157622301524201
6356,L,300.1,309.7,1481,37.9,34.0,0,0,0,0,0,0,0,1,0,0.3157622301513445
7175,L,300.2,310.2,1530,48.5,15.0,0,0,0,0,0,0,0,1,0,0.3157622301541512
220,M,298.3,308.5,1434,46.2,148.0,0,0,0,0,0,0,0,0,1,0.3157622301482635
1455,L,299.1,310.4,1428,46.9,87.0,0,0,0,0,0,0,0,1,0,0.3157622301478393
2661,L,299.8,310.0115802171291,1291,56.4,188.0,0,0,0,0,0,0,0,1,0,0.3157622301357405
7649,L,300.4,311.4,1552,28.8,135.0,0,0,0,0,0,0,0,1,0,0.315762230155294
5111,M,304.0,313.5,1732,26.2,126.0,0,0,0,0,0,0,0,0,1,0.3157622301625481
4118,L,301.9,310.5,1340,55.7,204.0,1,0,0,0,1,0,0,1,0,0.3157622301406643
2662,M,299.9,309.4,1509,42.8,190.0,0,0,0,0,0,0,0,0,1,0.3157622301529947
5214,M,303.7,312.6,1429,43.3,189.0,0,0,0,0,0,0,0,0,1,0.31576223014791055
487,M,297.4,309.1,1582,35.9,180.0,0,0,0,0,0,0,0,0,1,0.3157622301567476
2709,L,299.6,309.1,2266,15.3,79.0,0,0,0,0,0,0,0,1,0,0.3157622301725557
4919,L,303.3,312.2,1457,40.7,48.0,0,0,0,0,0,0,0,1,0,0.3157622301498229
271,H,298.0,308.0,1520,39.6,51.0,0,0,0,0,0,0,1,0,0,0.3157622301536088
4858,L,303.7,312.3,1606,37.4,103.0,0,0,0,0,0,0,0,1,0,0.3157622301578305
531,M,297.6,309.5,1709,32.2,65.0,0,0,0,0,0,0,0,0,1,0.31576223016179306
5479,L,302.7,312.2,1611,34.1,186.0,0,0,0,0,0,0,0,1,0,0.3157622301580477
7142,M,300.4,309.8,1356,44.4,136.0,0,0,0,0,0,0,0,0,1,0.3157622301421151
3591,L,301.8,310.6,1403,46.8,151.0,0,0,0,0,0,0,0,1,0,0.3157622301459895
8131,H,300.0,311.2,1393,43.1,45.0,0,0,0,0,0,0,1,0,0,0.3157622301452104
9495,L,300.1,309.9,1516,41.4,219.0,0,0,0,0,0,0,0,1,0,0.31576223015338767
756,H,296.8,308.1,1492,43.7,222.0,0,0,0,0,0,0,1,0,0,0.3157622301520082
6670,L,301.4,310.5,1571,33.9,208.0,0,0,0,0,0,0,0,1,0,0.315762230156228
2322,M,299.2,308.8,1314,52.5,108.0,0,0,0,0,0,0,0,0,1,0.3157622301381469
4856,L,303.7,312.3,1375,46.2,98.0,0,0,0,0,0,0,0,1,0,0.3157622301437479
8285,L,298.8,310.6,1651,33.3,0.0,0,0,0,0,0,0,0,1,0,0.3157622301596886
315,M,297.9,308.5,1300,53.0,172.0,0,0,0,0,0,0,0,0,1,0.3157622301367033
7032,L,300.7,310.8,1479,49.1,108.0,0,0,0,0,0,0,0,1,0,0.3157622301512216
5919,L,300.1,310.1,1541,42.0,108.0,0,0,0,0,0,0,0,1,0,0.3157622301547311
6626,M,301.6,310.7,1421,44.4,108.0,0,0,0,0,0,0,0,0,1,0.31576223014733495
7251,M,300.1,310.2,1429,42.0,206.0,0,0,0,0,0,0,0,0,1,0.31576223014791055
5347,L,303.4,312.7,1534,35.5,98.0,0,0,0,0,0,0,0,1,0,0.3157622301543641
2551,L,299.4,309.3,1366,48.4,116.0,0,0,0,0,0,0,0,1,0,0.3157622301429862
1515,M,298.1,308.8,1628,37.6,12.0,0,0,0,0,0,0,0,0,1,0.31576223015876564
728,H,297.3,310.0115802171291,1499,37.6,147.0,0,0,0,0,0,0,1,0,0,0.3157622301524201
7750,L,300.4,311.6,1674,33.0,172.0,0,0,0,0,0,0,0,1,0,0.31576223016055954
9507,H,299.3,310.4,1548,41.6,25.0,0,0,0,0,0,0,1,0,0,0.31576223015509125
7477,L,300.2,311.5,1492,41.8,128.0,0,0,0,0,0,0,0,1,0,0.3157622301520082
4339,L,301.6,309.9,1397,43.7,102.0,0,0,0,0,0,0,0,1,0,0.31576223014552485
833,L,296.6,307.4,1521,38.6,173.0,0,0,0,0,0,0,0,1,0,0.3157622301536637
5697,H,302.5,311.9,1595,34.6,112.0,0,0,0,0,0,0,1,0,0,0.31576223015734256
3783,L,302.2,310.8,1827,23.8,9.0,0,0,0,0,0,0,0,1,0,0.31576223016526467
6305,L,301.1,310.5,1532,37.5,119.0,0,0,0,0,0,0,0,1,0,0.315762230154258
9675,L,300.1,310.2,1695,29.6,8.0,0,0,0,0,0,0,0,1,0,0.3157622301613124
5938,M,300.6,310.5,1462,41.3,68.0,0,0,0,0,0,0,0,0,1,0.31576223015014854
5352,M,303.5,312.9,1530,34.5,110.0,0,0,0,0,0,0,0,0,1,0.3157622301541512
1138,L,300.1,307.8,1653,29.7,137.0,0,0,0,0,0,0,0,1,0,0.31576223015976634
4335,L,301.6,309.8,1472,42.5,91.0,0,0,0,0,0,0,0,1,0,0.31576223015078597
1842,L,297.7,310.0115802171291,1668,37.8,5.0,0,0,0,0,0,0,0,1,0,0.31576223016033717
6523,L,301.1,310.1,1489,45.8,42.0,0,0,0,0,0,0,0,1,0,0.3157622301518292
4327,L,301.6,310.1,1362,55.8,70.0,1,0,1,0,0,0,0,1,0,0.315762230142641
7670,L,300.7,311.8,1336,58.4,189.0,1,0,0,0,1,0,0,1,0,0.3157622301402902
7587,L,300.4,311.1,1589,35.5,191.0,0,0,0,0,0,0,0,1,0,0.3157622301570705
8670,M,297.5,308.8,1471,52.3,152.0,0,0,0,0,0,0,0,0,1,0.3157622301507231
5309,L,304.0,313.2,1481,42.6,213.0,0,0,0,0,0,0,0,1,0,0.3157622301513445
1721,L,298.2,307.7,1459,44.5,89.0,0,0,0,0,0,0,0,1,0,0.3157622301499537
2685,L,299.8,309.4,1460,37.4,25.0,0,0,0,0,0,0,0,1,0,0.31576223015001886
4279,L,302.0,310.1,1409,50.4,172.0,0,0,0,0,0,0,0,1,0,0.31576223014644594
5427,L,302.6,312.3,1554,42.0,58.0,0,0,0,0,0,0,0,1,0,0.3157622301553945
4714,L,303.5,311.8,1451,45.2,173.0,0,0,0,0,0,0,0,1,0,0.315762230149426
9885,L,300.1,309.5,1673,30.8,141.0,0,0,0,0,0,0,0,1,0,0.31576223016052274
1303,L,298.6,309.8,1505,45.7,144.0,0,0,0,0,0,1,0,1,0,0.3157622301527668
4377,M,301.9,309.6,1551,34.6,211.0,0,0,0,0,0,0,0,0,1,0.31576223015524346
6863,M,301.1,310.0115802171291,1384,49.4,48.0,0,0,0,0,0,0,0,0,1,0.31576223014448906
8384,M,298.8,309.9,1495,35.2,60.0,0,0,0,0,0,0,0,0,1,0.3157622301521857
6212,L,300.8,310.6,1360,48.8,91.0,0,0,0,0,0,0,0,1,0,0.31576223014246674
3319,L,301.4,310.4,1436,49.7,108.0,0,0,0,0,0,0,0,1,0,0.3157622301484032
4427,L,302.6,310.3,1479,40.4,105.0,0,0,0,0,0,0,0,1,0,0.3157622301512216
7145,M,300.4,309.8,1517,40.3,149.0,0,0,0,0,0,0,0,0,1,0.3157622301534432
2459,L,299.0,308.6,1434,45.9,108.0,0,0,0,0,0,0,0,1,0,0.3157622301482635
9516,L,299.0,310.2,1682,28.8,49.0,0,0,0,0,0,0,0,1,0,0.315762230160851
2208,L,299.8,309.2,1591,37.5,108.0,0,0,0,0,0,0,0,1,0,0.31576223015716165
9414,L,298.1,308.6,1439,44.9,205.0,0,0,0,0,0,0,0,1,0,0.3157622301486114
2603,L,299.4,309.2,1427,41.5,29.0,0,0,0,0,0,0,0,1,0,0.3157622301477679
2788,M,300.3,309.6,1524,38.4,54.0,0,0,0,0,0,0,0,0,1,0.3157622301538276
3739,M,302.3,311.2,1454,43.8,112.0,0,0,0,0,0,0,0,0,1,0.3157622301496253
9590,L,299.2,310.4,1472,43.3,32.0,0,0,0,0,0,0,0,1,0,0.31576223015078597
380,L,297.3,310.0115802171291,1754,26.8,125.0,0,0,0,0,0,0,0,1,0,0.31576223016323224
1315,M,299.0,310.3,1635,34.5,168.0,0,0,0,0,0,0,0,0,1,0.31576223015905225
1128,M,296.7,307.8,1672,32.4,113.0,0,0,0,0,0,0,0,0,1,0.31576223016048577
2016,L,298.5,308.2,1301,66.3,42.0,1,0,0,1,0,0,0,1,0,0.31576223013680854
5611,L,303.1,312.4,1407,41.2,107.0,0,0,0,0,0,0,0,1,0,0.31576223014629473
982,L,296.2,306.8,1655,31.1,136.0,0,0,0,0,0,0,0,1,0,0.3157622301598437
8920,L,297.2,310.0115802171291,1693,28.0,188.0,0,0,0,0,0,0,0,1,0,0.31576223016124233
9009,M,297.4,308.0,1440,42.4,190.0,0,0,0,0,0,0,0,0,1,0.3157622301486803
5864,M,301.4,311.1,1758,25.4,88.0,0,0,0,0,0,0,0,0,1,0.31576223016335286
4070,M,301.9,310.7,1405,47.9,80.0,0,0,0,0,0,0,0,0,1,0.3157622301461425
5161,L,304.1,313.2,1434,50.1,43.0,0,0,0,0,0,0,0,1,0,0.3157622301482635
9462,M,298.4,309.2,1414,46.4,128.0,0,0,0,0,0,0,0,0,1,0.3157622301468202
3995,L,300.1,311.4,1434,40.3,133.0,0,0,0,0,0,0,0,1,0,0.3157622301482635
5426,L,302.5,312.2,1775,27.9,56.0,0,0,0,0,0,0,0,1,0,0.31576223016385285
4428,M,302.4,310.0115802171291,1379,48.9,107.0,1,0,1,0,0,0,0,0,1,0.3157622301440798
6032,L,300.6,310.7,1455,40.6,82.0,0,0,0,0,0,0,0,1,0,0.3157622301496914
9664,L,299.1,310.1,1435,48.8,229.0,1,0,0,0,1,0,0,1,0,0.31576223014833343
2740,L,299.8,310.0115802171291,1572,35.4,158.0,0,0,0,0,0,0,0,1,0,0.31576223015627586
7158,L,300.2,310.0115802171291,1486,40.1,182.0,0,0,0,0,0,0,0,1,0,0.3157622301516487
7917,L,300.8,310.0115802171291,1512,37.1,169.0,0,0,0,0,0,0,0,1,0,0.31576223015316407
7776,L,300.3,311.5,1663,33.6,38.0,0,0,0,0,0,0,0,1,0,0.31576223016014926
3079,M,300.1,309.4,1349,56.2,127.0,0,0,0,0,0,0,0,0,1,0.3157622301414892
3348,L,301.3,310.6,1529,41.8,176.0,0,0,0,0,0,0,0,1,0,0.31576223015409766
8800,L,297.3,308.4,1472,41.3,67.0,0,0,0,0,0,0,0,1,0,0.31576223015078597
3614,L,301.7,310.0115802171291,1557,39.4,2.0,0,0,0,0,0,0,0,1,0,0.3157622301555444
5701,L,300.1,311.9,1497,41.6,123.0,0,0,0,0,0,0,0,1,0,0.3157622301523032
8388,L,298.8,309.9,1351,47.2,73.0,0,0,0,0,0,0,0,1,0,0.3157622301416694
2102,L,299.3,309.3,1528,37.8,45.0,0,0,0,0,0,0,0,1,0,0.3157622301540439
6471,L,300.4,309.6,1379,54.5,108.0,0,0,0,0,0,0,0,1,0,0.3157622301440798
8348,L,298.7,309.6,1665,31.1,178.0,0,0,0,0,0,0,0,1,0,0.3157622301602247
149,M,298.3,308.3,1379,48.0,181.0,0,0,0,0,0,0,0,0,1,0.3157622301440798
1996,L,298.3,308.0,1451,47.1,196.0,0,0,0,0,0,0,0,1,0,0.315762230149426
8835,L,297.4,308.8,1473,46.2,167.0,0,0,0,0,0,0,0,1,0,0.31576223015084876
7164,M,300.1,310.1,1501,39.3,195.0,0,0,0,0,0,0,0,0,1,0.31576223015253624
4906,L,300.1,312.4,1363,53.1,7.0,0,0,0,0,0,0,0,1,0,0.31576223014272764
5574,L,302.5,312.2,1738,25.3,14.0,0,0,0,0,0,0,0,1,0,0.31576223016273824
1130,L,296.7,307.9,1690,29.6,119.0,0,0,0,0,0,0,0,1,0,0.3157622301611367
157,M,298.4,308.1,1495,46.0,203.0,0,0,0,0,0,0,0,0,1,0.3157622301521857
5560,M,302.5,312.0,1451,43.2,189.0,0,0,0,0,0,0,0,0,1,0.315762230149426
5523,L,302.6,311.9,1453,39.1,84.0,0,0,0,0,0,0,0,1,0,0.31576223014955906
6482,L,300.7,309.8,1406,48.4,108.0,0,0,0,0,0,0,0,1,0,0.31576223014621874
8112,M,300.4,311.8,1553,33.1,209.0,1,1,0,0,0,0,0,0,1,0.3157622301553443
7243,H,299.9,310.1,1447,51.4,185.0,0,0,0,0,0,0,1,0,0,0.31576223014915755
2678,L,299.8,309.5,1495,39.6,10.0,0,0,0,0,0,0,0,1,0,0.3157622301521857
7165,M,300.2,310.1,1474,44.0,198.0,0,0,0,0,0,0,0,0,1,0.31576223015091137
5042,L,304.0,313.2,1314,47.1,144.0,0,0,0,0,0,0,0,1,0,0.3157622301381469
2256,L,299.1,308.3,1559,33.7,30.0,0,0,0,0,0,0,0,1,0,0.3157622301556436
8969,L,297.1,307.8,1454,50.6,94.0,0,0,0,0,0,0,0,1,0,0.3157622301496253
2117,M,300.1,309.0,1381,44.9,88.0,0,0,0,0,0,0,0,0,1,0.3157622301442442
5608,M,302.9,312.2,1745,25.5,98.0,0,0,0,0,0,0,0,0,1,0.31576223016295674
2212,M,299.6,309.0,1245,64.0,120.0,0,0,0,0,0,0,0,0,1,0.3157622301303537
1967,L,297.9,307.6,1515,40.5,118.0,0,0,0,0,0,0,0,1,0,0.315762230153332
2534,L,298.8,308.7,1490,33.6,71.0,0,0,0,0,0,0,0,1,0,0.31576223015188903
7079,L,300.7,310.5,1357,52.6,199.0,0,0,0,0,0,0,0,1,0,0.3157622301422034
5334,M,303.5,312.6,1405,51.6,62.0,0,0,0,0,0,0,0,0,1,0.3157622301461425
9506,L,299.2,310.3,1429,40.1,23.0,0,0,0,0,0,0,0,1,0,0.31576223014791055
5609,M,303.1,312.3,1623,31.6,101.0,0,0,0,0,0,0,0,0,1,0.3157622301585577
7723,L,300.5,310.0115802171291,1409,54.7,104.0,0,0,0,0,0,0,0,1,0,0.31576223014644594
1200,M,296.9,307.9,1979,20.4,68.0,0,0,0,0,0,0,0,0,1,0.315762230168562
3709,L,302.1,311.4,1549,44.6,31.0,0,0,0,0,0,0,0,1,0,0.3157622301551421
2755,H,299.6,309.1,1630,32.3,194.0,0,0,0,0,0,0,1,0,0,0.315762230158848
2818,L,300.2,309.5,1417,41.1,129.0,0,0,0,0,0,0,0,1,0,0.31576223014704213
6246,L,300.9,310.4,1445,41.7,180.0,0,0,0,0,0,0,0,1,0,0.31576223014902216
7090,L,300.6,310.2,1622,34.1,3.0,0,0,0,0,0,0,0,1,0,0.3157622301585158
1092,L,297.0,307.7,1447,46.4,8.0,0,0,0,0,0,0,0,1,0,0.31576223014915755
1384,M,298.9,310.2,1331,49.0,121.0,0,0,0,0,0,0,0,0,1,0.31576223013981597
8124,H,300.2,311.5,1515,36.8,27.0,0,0,0,0,0,0,1,0,0,0.315762230153332
4990,L,303.9,313.2,1499,37.4,7.0,0,0,0,0,0,0,0,1,0,0.3157622301524201
2843,L,300.3,309.3,1345,53.5,192.0,0,0,0,0,0,0,0,1,0,0.31576223014112537
7626,L,300.1,311.7,1556,34.9,76.0,0,0,0,0,0,0,0,1,0,0.31576223015549454
6473,H,300.4,310.0115802171291,1571,33.6,126.0,0,0,0,0,0,0,1,0,0,0.315762230156228
1577,L,300.1,308.4,1490,41.7,170.0,0,0,0,0,0,0,0,1,0,0.31576223015188903
2986,L,300.7,309.8,1596,31.5,123.0,0,0,0,0,0,0,0,1,0,0.3157622301573875
6954,L,300.8,311.3,1462,41.4,75.0,0,0,0,0,0,0,0,1,0,0.31576223015014854
4052,L,301.8,310.8,1383,46.4,37.0,0,0,0,0,0,0,0,1,0,0.3157622301444077
8380,L,298.8,309.9,1629,31.9,49.0,0,0,0,0,0,0,0,1,0,0.3157622301588069
9405,L,297.7,308.2,2007,19.3,181.0,0,0,0,0,0,0,0,1,0,0.3157622301690602
2984,L,300.6,309.6,1290,57.4,119.0,0,0,0,0,0,0,0,1,0,0.3157622301356318
5813,L,301.4,311.1,1495,36.3,193.0,0,0,0,0,0,0,0,1,0,0.3157622301521857
5995,L,300.1,310.4,1608,39.2,221.0,0,0,0,0,0,0,0,1,0,0.3157622301579177
695,L,297.6,309.1,1394,50.0,62.0,0,0,0,0,0,0,0,1,0,0.31576223014528937
3638,M,302.2,311.4,1626,31.6,62.0,0,0,0,0,0,0,0,0,1,0.31576223015868277
4018,L,302.0,310.8,1902,23.4,188.0,0,0,0,0,0,0,0,1,0,0.3157622301670286
786,M,296.9,308.0,1497,44.8,57.0,0,0,0,0,0,0,0,0,1,0.3157622301523032
7237,M,299.8,310.0115802171291,1460,37.1,169.0,0,0,0,0,0,0,0,0,1,0.31576223015001886
5184,M,303.9,310.0115802171291,1901,22.5,110.0,0,0,0,0,0,0,0,0,1,0.315762230167007
5569,L,302.5,312.1,1534,38.6,3.0,0,0,0,0,0,0,0,1,0,0.3157622301543641
7472,L,300.3,311.7,1365,53.3,113.0,0,0,0,0,0,0,0,1,0,0.31576223014290034
3144,H,300.6,310.0,1419,42.4,90.0,0,0,0,0,0,0,1,0,0,0.31576223014718896
9563,M,299.7,311.0,1435,50.1,168.0,0,0,0,0,0,0,0,0,1,0.31576223014833343
